"Recording","Timestamp","Duration","Speakers","Text","Tags","Comments","Reels"
"2024-07-15_p03_rushhour_with_audio.mp4","00:07:57","00:00:25","","","","",""
"2024-07-15_p03_rushhour_with_audio.mp4","00:06:34","00:00:36","","","","",""
"2024-07-15_p03_rushhour_with_audio.mp4","00:02:20","00:00:23","","","","",""
"2024-07-24_p12_knot_with_audio.mp4","00:07:11","00:00:29","","","","",""
"2024-07-24_p12_knot_with_audio.mp4","00:06:11","00:00:03","","","RH","",""
"2024-07-24_p12_knot_with_audio.mp4","00:05:42","00:00:03","","","RH","",""
"2024-07-24_p12_knot_with_audio.mp4","00:05:09","00:00:03","","","RH","",""
"2024-07-24_p12_knot_with_audio.mp4","00:04:11","00:00:04","","","RH","",""
"2024-07-24_p12_knot_with_audio.mp4","00:01:32","00:00:11","","","RH","",""
"2024-07-24_p12_rushhour_with_audio.mp4","00:09:53","00:00:10","","","","",""
"2024-07-24_p12_rushhour_with_audio.mp4","00:07:01","00:00:07","","","","",""
"2024-07-24_p12_rushhour_with_audio.mp4","00:05:33","00:00:12","","","","",""
"2024-07-24_p12_rushhour_with_audio.mp4","00:03:11","00:00:08","","","","",""
"2024-07-24_p12_rushhour_with_audio.mp4","00:01:00","00:00:09","","","","",""
"2024-07-24_p12_rushhour_with_audio.mp4","00:00:25","00:00:08","","","RH","",""
"2024-07-24_p12_origami_with_audio.mp4","00:07:53","00:00:05","","","RH","",""
"2024-07-24_p12_origami_with_audio.mp4","00:06:16","00:00:29","","","","",""
"2024-07-24_p12_origami_with_audio.mp4","00:04:50","00:00:40","","","","",""
"2024-07-24_p12_origami_with_audio.mp4","00:02:59","00:00:18","","","","",""
"2024-07-24_p12_origami_with_audio.mp4","00:02:42","00:00:11","","","RH","",""
"2024-07-24_p12_origami_with_audio.mp4","00:01:19","00:00:01","","","","",""
"2024-07-19_p11_knot_with_audio.mp4","00:10:26","00:00:13","","","","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:09:41","00:00:13","","","","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:02:48","00:00:39","","","","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:09:42","00:00:13","","","RH","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:07:01","00:00:22","Speaker 1","Crazy.","","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:04:15","00:00:23","","","","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:04:39","00:00:18","","","","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:03:14","00:00:14","","","RH","",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:00:40","00:00:21","","","","",""
"2024-07-19_p11_knot_with_audio.mp4","00:10:27","00:00:11","","","RH","",""
"2024-07-19_p11_knot_with_audio.mp4","00:09:25","00:00:17","","","","",""
"2024-07-19_p11_knot_with_audio.mp4","00:04:43","00:00:20","","","","",""
"2024-07-19_p11_knot_with_audio.mp4","00:01:53","00:00:19","","","RH","",""
"2024-07-19_p11_origami_with_audio.mp4","00:05:24","00:00:19","","","","",""
"2024-07-19_p11_origami_with_audio.mp4","00:04:24","00:00:09","","","","",""
"2024-07-19_p11_origami_with_audio.mp4","00:02:01","00:00:19","","","","",""
"2024-07-19_p11_origami_with_audio.mp4","00:00:52","00:00:13","","","","",""
"2024-07-18_p10_rushhour_with_audio.mp4","00:09:32","00:00:08","","","","",""
"2024-07-18_p10_rushhour_with_audio.mp4","00:08:09","00:00:15","","","","",""
